Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
Bhola Hospital,"# 12/13, Lowther Road,Dar Bhanga Colony,Darbhanga Colony, Allahabad.",Unknown,Government,9739074997,Chhattisgarh
Bhopal Charitable Hospital,"Noor Mahal Road,Chowki Imambadachowki Imambaba, Bhopal-462001",Unknown,Government,9046711419,Punjab
Bhopal Eye Hospital,"# 29, Rajdev Colony, Barasia Road",Unknown,Government,9915507930,Karnataka
Bhopal Heart & General Hospital,"H3 B Sector, Sonagiri",Unknown,Government,9976658406,Manipur
Bhubaneswar Medical Research Institute & Nursing Home,"Plot #-1,Bda District Centre,Chandrasekharpur",Unknown,Government,9407700729,Gujarat
Bhupal Hospital & Research Centre,"#159, College Road, Adjacent To Ganaga Plaza.",Unknown,Government,9866894676,Bihar
Bibi Ayesha Mili Hospital,"242, Old Mysore-Bangalore Rd,Mysore","Few Left, Book Now",Private,9263090617,Rajasthan
Bibi General Hospital & Cancer Centre,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",Unknown,Government,9827503896,Meghalaya
Bikaner Nursing Home,Pawan Puri,Unknown,Government,9959510250,Telangana
Bilagi Hospital & Research Centre,Opp Nehru Stedium Main Gate,Unknown,Government,9156096849,Tamil Nadu
Billroth Hospital Limited,"#43, Lakshmi Takis Rd,Shenay Nagarshenoy Nagar, Chennai","Few Left, Book Now",Private,9382067411,Uttarakhand
Billroth Hospitals - Ra Puram,"#52, 2Nd Main Road, Raja Annamalai Puram,Raja Annamalai Puram",Unknown,Government,9389305487,Odisha
Bilva Hospital,"No. 21, 22, 2Nd Main Palace Guttahalli, Bangalore-560003, Near Vinayaka Circle","Few Left, Book Now",Private,9030662517,Andhra Pradesh
Bimal Hospital,"17/1,Near Bhuto Wali Gali",Unknown,Government,9499687856,Madhya Pradesh
Bimla Devi Hospital,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11, Delhi-110091.","Few Left, Book Now",Private,9067307104,Delhi
Bindu Nursing Home,"Sudarshan Nager,Chinchwad",Unknown,Government,9427518221,Haryana
Bindubasini Nursing Home,"76, Madhusudan Banerjee Road, Birati",Unknown,Government,9823768933,Haryana
Birajdar Hospital,"Ninali Vasti Road, Solapur,Maharashtra-413001",Unknown,Government,9176180366,Maharashtra
Birati Nursing Home Pvt Ltd,"No.2,Gopal Jew Mandir Road,Birati,24 Parganas(North),",Unknown,Government,9945261483,Kashmir
Birmole Hospital,"No.118/1,Cuf Road,Cuf Nagar,Panvel,Opp Royal Cosmo Club",Unknown,Government,9829943136,Jammu
Bishop Alapatt Mission Hospital,Karanchira Kattoor P.O,Available,Government,9813970367,Goa
Bishop Benziger Hospital,Beach Road Kollam-691001,Unknown,Government,9246481455,Jharkhand
Blk Memorial Hospital,"Pusa Road,Near Rajendra Place Metro Station",Unknown,Government,9935001669,Odisha
Bobade Accident Hospital,"Bobade Accident Hospital, Baramati",Unknown,Government,9318462690,Tripura
Bodyline Hospitals (A Unit Of Kidneyline Healthcare Pvt Ltd),"Opp. Annapurna Hall, Near Dev Status, New Vikas Gruh Road, Paldi, Ahmedabad.","Few Left, Book Now",Private,9695167015,Arunachal Pradesh
Bollineni Heart Centre Pvt Ltd,"#77-7-77/1,Seelam Nookaraju Complex Road,Katari Gardens,Rajahmundry",Unknown,Government,9130869324,Himachal Pradesh
Bollineni Hospitals (A Unit Of Krishna Institute Of Medical Sciences Limited),"#77-7-77/1, Seelam Nookaraju Complex Katari Gardens,",Unknown,Government,9367603960,Tripura
Bollineni Ramanaiah Memorial Hospital & Pvt Ltd,"Dargamitta,Nellore",Unknown,Government,9592325746,Puducherry
Bollineni Ramanaiah Memorial Hospitals Pvt. Ltd,"Dargamitta,Nellore",Unknown,Government,9128444245,Tripura
Bombay Hospital,"Ida - Scheme ,No .94/95Ring Road ,",Unknown,Government,9422601878,Gujarat
Bombay Hospital & Research Centre,"Near Saurabh Hotel,Avas Vikas Road,Near Comfort Inn Saurabh Hotel",Unknown,Government,9549213920,Madhya Pradesh
Bombay Hospital & Research Centre Jabalpur,"906-Gol Bazar, Jabalpur, Madhya Pradesh, Shaheed Smarak Ground.",Available,Government,9667900986,Madhya Pradesh
Bombay Hospital And Research Centre,"#12,New Marine Lines,Mumbai","Few Left, Book Now",Private,9147186213,Jammu
Bommidala Cancer Institute,Peda Kakani.,Unknown,Government,9143393207,West Bengal
Bone And Joint Hospital & Research Centre Pvt Ltd,"3, Shyam Nagar, Near Radha Krishna Mandir, Pal Link Road Jodhapur (Rajasthan) India-342003",Unknown,Government,9327602401,Rajasthan
Bopal Eye Care Centre,"Off-Bs-22To25, B Wing, 2Nd Floor, Ahmedabad, Amrapali Mall, Bopal City Gold Theatre","Few Left, Book Now",Private,9781997950,Nagaland
Bopal Multispeciality Hospital Pvt Ltd,"1St First Floor,Abhinandan Complex, Opp-Inductotherm, Bopal , Ahmedabad","Few Left, Book Now",Private,9360167334,Maharashtra
Boppana Super Speciality Hospital,"Machilipatnam Road, Poranki, Vijayawada, Andhra Pradesh.",Limited Seats,Municipal,9025815804,Andhra Pradesh
Bora Ent Hospital,"#2/4,Neeta Park Air Port Road,Yerwada",Unknown,Government,9122254802,Puducherry
Bora Hospital,"#589, Ganesh Peth,Dhor Galli",Unknown,Government,9335210511,West Bengal
Brahm Shakti Hospital,"U-1/78, Budh Vihar, Phase-1, Main Kanjhawala Road, Delhi-110086","Few Left, Book Now",Private,9691605022,Delhi
Brahm Shakti Sanjivani Hospital,Opp:Telephe Exchangedist Jharjjar,Unknown,Government,9121578261,Assam
Brahma Nursing Home,"Nadangadda, Karwar.",Unknown,Government,9640156686,Chhattisgarh
Brahmaputra Diagnostics & Hospital Ltd,"Bordoloi Avenue,Patian Bazar, Near Circuit House & Assam Medical College, Dibrugarh-786001",Unknown,Government,9721649611,Assam
Brain & Spine Hospital,"Blue Star Complex,Near Under Bridge,Income Tax,Navrangpur",Unknown,Government,9798484906,Andhra Pradesh
Breach Candy Hospital,60-A Bhulabhai Desai Road,Unknown,Government,9999046408,West Bengal
Brij Medical Center,"Kk 54, Kavi Nagar,Ghaziabad (Up)","Few Left, Book Now",Private,9324205493,Goa
Brij Medical Centre Pvt Ltd,"# 94, E-Block, Near Panbi Police Station.",Unknown,Government,9935139248,Haryana
Brijlal Hospital & Research Centre Pvt Ltd,"Anandi Tower,Nainital Road",Unknown,Government,9952194152,Himachal Pradesh
Brijmohan Taori Memorial Hospital,"Mo-1, Silver Palace, Dhantoli,Nagpur-440012",Limited Seats,Municipal,9044819847,Meghalaya
Bristlecone Hospitals Private Limited,"3-4-136/A,Street #6 Barkatpurbarkhatpura Branch",Unknown,Government,9651662602,Uttarakhand
Brookefield Hospital (A Unit Of Sanjeevini Healthcare),"#521, 522, Vijaylakshmi Square, Itpl Main Road, Kundalahalli, Bangalore-560037Kundalahalli","Few Left, Book Now",Private,9224663524,Mizoram
Brrighton Kavita Hospital,"5,Sector-29,Opp Huda Market, Faridabad , Haryana","Few Left, Book Now",Private,9084034745,Haryana
Brs Hospital Pvt.Ltd,No.28. Cathedral Garden Roadcathedral Gardens Road,Unknown,Government,9500298650,Assam
Brundavan Nursing Home,"# 24/588- Railway Station Road, Rajavari Centre.",Unknown,Government,9246627458,Manipur
Brws Hospital,"Kendua Main Road,",Unknown,Government,9935342922,Jammu
Bses Mg Hospital,"Sv Road, Andheri (W), Opp Andheri Rly Stn, Maharashtra","Few Left, Book Now",Private,9211459693,Maharashtra
Bsr Ent Nursing Home,"Sd Road,Karancentre",Unknown,Government,9016292201,Mizoram
Burute Hospital,"Near Rupee Co-Op Bank,Opp Pune-Nashik Highway","Few Left, Book Now",Private,9575550071,Goa
Burute Hospital,"B,2-3,Laxmi Classic Poona Alandi Road, Mohanwadi Near Vishrantwadi,Yerwada",Unknown,Government,9771758256,Assam
C.A.Hospital,"#339/340/341/15,Deson,Kumnnumpuram,Aluva",Unknown,Government,9012754101,Rajasthan
C.F. Sheth Memorial Hospital,"Shalimar Complex, Station Road",Unknown,Government,9965765597,Karnataka
C.K. Hospital,"# 41, Balasubbarayalu Streeterode",Unknown,Government,9046022702,Chhattisgarh
C.K.Memorial Kapoor,"3B/8A,Nit,Nh-3,Dav College Road",Unknown,Government,9259298267,Rajasthan
C.R.Reddy Hospital,"13/264,Hospital Road,Gudur",Unknown,Government,9951321839,Karnataka
C.S.I. Hospital,"C.S.I. Hospital Road,Kolar.",Unknown,Government,9388112711,Uttarakhand
C.S.I. Kalyani General Hospital,"15, Dr Radhakrishnan Salai, Mylapore, Chennai-600004, Next To City Centre","Few Left, Book Now",Private,9819377745,Karnataka
C.S.I. Lombard Memorial Hospital,Mission Hospital Road,Unknown,Government,9735413220,Nagaland
C.S.I. Rainy Multi-Speciality Hospital,"#45, G.A. Road Chennai","Few Left, Book Now",Private,9169522938,Goa
C.S.I. Redfern Memorial Hospital,"Race Course Road, P.O Box No.127.",Unknown,Government,9842918742,Karnataka
C.S.M Nursing Home,"# 18, Rukmani Street,West Mambalam",Unknown,Government,9814265170,Gujarat
C.V.R Hospital,"H No:10-1-7,1St Lane,Sambasivapet,",Unknown,Government,9322760798,Puducherry
Calcutta Lions Netra Niketan (Unit Of Lions Club Of Calcutta Trust),"1/2/A/2,Uday Sankar Sarani, Golf Green, Near Golf Green Door Darshan Kendra,South 24 Parganas",Unknown,Government,9096124030,Andhra Pradesh
Calibre Medical Centre (Cmc),"1-11-240/2D, Shyamlal Buildings Begumpet",Unknown,Government,9799245290,Madhya Pradesh
Canara Health Care Limited,"Baggon Road,",Unknown,Government,9442304809,Delhi
Capitol Nursing Home Pvt Ltd,"288/2 Ap C Road,(Ps Narkeldanga)(P S Narkeldanga)",Unknown,Government,9545660396,Uttar Pradesh
Cardinal Gracious Memorial Hospital Trust,"Sandor, Bangli Naka, Vasai West, Thane - 401201","Few Left, Book Now",Private,9545368698,Maharashtra
Care And Cure Hospital,"Surendra Nath Road, Nabapally,Barasat Dt,24Parg North,West Bengalbarasatdist 24 Parg(N)",Unknown,Government,9759101750,West Bengal
Care Hospital,"No.6-3-248/1/1A, Road No.01, Banjara Hills, Hyderabad-500034","Few Left, Book Now",Private,9490105317,Delhi
Care Hospitals,"Near Clocl Tower,Adjacent Laneto Westely Church, Market Stre",Unknown,Government,9738994038,Kashmir
Care Hospitals (A Unit Of Quality Care India Limited).,"Exhibition Road Hyderabad-500001, Near Mazam Jahi Market","Few Left, Book Now",Private,9650398665,Puducherry
Career Institute Of Medical Sciences(Cims),"Career College Campus,Govindpura, Bhelgovindpura, Bhel, Bhopal.",Unknown,Government,9037290393,Goa
Carewell Heart & Super Speciality Hospital,"Model Town, G-T. Road,Near Raiway Station,Amritsar",Available,Government,9263105282,Arunachal Pradesh
Carewell Hospital,"#471, Adarsh Nagar.",Unknown,Government,9344471428,Gujarat
Carewell Hospital & Research Centre,"Nullipady, Kasargod,Kerala - 671 121",Unknown,Government,9657735306,Kerala
Carmel Hospital,"Asokapuram,P.O",Unknown,Government,9183974422,Nagaland
Cauvery Hospital,"# 756, New Kantharaje Urs Roadsaraswathipuram Mysore",Available,Government,9944608890,Telangana
Cauvery Hospital,"Terission College Road,Bannur Road,Shidharthnagar",Unknown,Government,9299832857,Delhi
Cauvery Orthopaedic Centre,"#408,20Th Main,W.O.C.Road,1St Block,Rajajinagar",Unknown,Government,9508763883,Rajasthan
Cauvery Trust Hospital,"No.36,Ponnankinaru Street,Villivakkam,",Unknown,Government,9968952554,Goa
Ccmk Hospital,"Ccmk Village,Vellikulam Road,Chalakudy",Unknown,Government,9807822753,Maharashtra
Cdr Medical Centre,"Jayanagar, B'Lore",Unknown,Government,9467523173,Kerala
Central Avenue Critical Care Hospital & Iccu,"Mahalaxmi Complex, Central Avenue Roaddarodkar Square, Central Avenu",Unknown,Government,9744473761,Uttarakhand
Central Hospital,"A-142/1, Ganesh Nagar P.O,Tilak Nagartilak Nagar, New Delhi-110018.","Few Left, Book Now",Private,9347193344,Delhi
Central Hospital,"Masoodabad Crossing,G.T. Road, Aligarh-202001.",Unknown,Government,9133781443,Meghalaya
Centre For Knee Surgery,"101/3,Akashganga Complex,Race Couse Circle",Unknown,Government,9837155730,Jammu
Centre For Sight,"B-5/24, Oppsite Deer Park Safdarjung Enclave,",Unknown,Government,9783703910,Meghalaya
Centre For Sight (A Unit Of New Delhi Centrre For Sight Pvt Ltd),"#35,Phase-7,",Unknown,Government,9555499619,Jammu
Centre For Sight (Agra),"116, Delhi Gate, Agra. U.P","Few Left, Book Now",Private,9131821702,Delhi
Centre For Sight (Gurgaon),"Sco Complex-317, Sec-29, Gurgaon","Few Left, Book Now",Private,9178336903,Bihar
Centre For Sight (Hisar),"Centre For Sight At Gayatri Eye Care Institute,1Model Town, Jindal Chowk, Hissarhisar",Unknown,Government,9111814870,Meghalaya
Centre For Sight (Jammu),"228, Bc Road, Rehari Chungi, Jammu.",Available,Government,9974915010,Jammu
Centre For Sight (Jodhpur),"At Ram Rishi Laser Centre, 562, 7Thc Road, Sardarpura, Near Satsang Bhawan.",Unknown,Government,9513222535,Uttarakhand
Centre For Sight (Ludhiana),"1St Floor, Sandhu Tower,Bxx-3369, Ferozpur Road,",Unknown,Government,9843645872,Meghalaya
Centre For Sight (Moradabad),"At Vivekanand Hospital &Research Centre, Kanth Road, Moradabad",Unknown,Government,9075748929,Madhya Pradesh
Centre For Sight (Preet Vihar),"F-19 Vikas Marg,Preet Vihar,Nr Preet Vihar Metro Station,Delhipreet Vihar","Few Left, Book Now",Private,9428073929,Delhi
Centre For Sight (Rajouri),"J-12/30, Rajouri Garden, New Delhi","Few Left, Book Now",Private,9877794847,Delhi
Centre For Sight (Rohini),"304-309, Ring Road Mall, Sector-3, Rohini,",Unknown,Government,9993009022,Karnataka
Centre For Sight (Roopnagar),"1/2. Roop Nagar, New Delhi,","Few Left, Book Now",Private,9597867881,Delhi
Centre For Sight-Chandigarh,"Sco 833-834, Sector -22-A Chandigarh, Punjab",Available,Government,9423815505,Punjab
Centre For Sight-Dwarka,"Plot No-20, Dwarka Sector 12 A, Opposite Bal Bharti School, Dwarka, New Delhi","Few Left, Book Now",Private,9512736286,Delhi
Centre For Sight-Faridabad,"At-Sunflag Hospital, Sector 16-A, Faridabad, Haryana","Few Left, Book Now",Private,9804244089,Haryana
Centre For Sight-Indore,"Plot No. 124, Sector-Ab, Scheme:-54, Indore, Madhya Pradesh",Available,Government,9927353686,Madhya Pradesh
Centre For Sight-Patiala,"Dr. Saronwala Complex, Jagdish Ashram Road, Near Rajinder Hospital, Patiala, Punjab.",Unknown,Government,9276728183,Punjab
Century Hospital,Mulakuzha P.O,Unknown,Government,9091005359,Himachal Pradesh
Cfs Netralaya Pvt Ltd Meerut (Centre For Sight),"E K Road, Opp:Nas College, Meerutmeerut",Limited Seats,Municipal,9961067957,Tamil Nadu
Cfs Netralaya Pvt. Ltd. (A Unit Of New Delhi Centre For Sight Pvt Ltd),"#194/15,Opp Adwaysworkshop,Delhi Road,","Few Left, Book Now",Private,9776863385,Delhi
Ch. Chhaju Ram Hospital (Aunit Of Holy Touch Healthcare Pvt Ltd),"Wz-1, Om Viha, Uttam Nagar Main Najafgarh Road, New Delhi -110059","Few Left, Book Now",Private,9542713346,Delhi
Chaddha Children Hospital & Nursing Home,"No.121,Guru Harkishan Nagar,Paschim Vihar,",Unknown,Government,9771046842,Goa
Chahal Hospital,"Bibiwala Road,Bathinda",Unknown,Government,9486696281,Sikkim
Chaitanya Ent Hospital,"38/685A, Sahodaran Ayyappan Road, Cochin-682016",Unknown,Government,9563809892,Manipur
Chaitanya Eye Hospital,Tikkle Road Mogalrajpuram,Unknown,Government,9317464615,Karnataka
Chaitanya Eye Hospital & Research Instt,"Trichandur, Ernakulam,Ernakulam",Unknown,Government,9527954528,Tamil Nadu
Chaitanya Hospital,Site No. 1&2 Sector 44/C Chandigarh-160044Chandigarh,Available,Government,9060653927,Delhi
Chaitanya Hospital,"No. 80, 3Rd Cross,P & T Colony,R.T.Nagarr.T. Nagar,Bangalore-560036.","Few Left, Book Now",Private,9634164509,Madhya Pradesh
Chaitanya Hospital,"Bhagirathi Nagar, Warje Malwadi.",Unknown,Government,9171271766,Chhattisgarh
Chaitanya Hospital,"Near Chinchwadgaon Police Chowky,Chapekar Chowk,Chinchwad,",Unknown,Government,9894582522,Tamil Nadu
Chaitanya Hospital,"A/P-Koregaon Bhima, Tal. Shirur, (Pune), Maharashtra","Few Left, Book Now",Private,9923668570,Maharashtra
Chaitanya Medical Centre,"# 771/24, Khb , Asector, Yelahanka, Bangalore, Karnataka","Few Left, Book Now",Private,9997403422,Karnataka
Chaitanya Nursing Home,"Poona Link Road, Kalyan East, Thane","Few Left, Book Now",Private,9108186487,Telangana
Chaithanya Eye Hospital & Research Institute,"Ravipuram Road, Ravipuram, Kochi-682016, Eranakulam",Limited Seats,Municipal,9352268380,Jharkhand
Chaithanya Eye Hospital & Research Institute,"M.G. Road, Kesavadasapuram, Trivandrum, Kerala-695004",Available,Government,9731905573,Kerala
Chaithanya Multispeciality Hospital,"Plot No:357&358, Prashanthnagar,Vanasthalipuram, Near Panama Godowns, Hyderabad-500070","Few Left, Book Now",Private,9233348090,West Bengal
Chaitra Hospital,"# 16/84, 15Th Cross, Basaweshwara Blockk.R. Nagar, Basavaswara Block,",Unknown,Government,9906152645,Arunachal Pradesh
Chakrabarthy Medical Centre,"Opp: Gurudwara Nagar, Near Aurangabad Road,Ahmednagar-414001",Unknown,Government,9755180901,Karnataka
Chakrabarti Eye Care Centre,"No.102, Kochulloor, Near Lerala Water Authority Office, Trivandram-695011",Unknown,Government,9489669292,Andhra Pradesh
Chakravarty Nursing Home,"# 207, Sector-10, Panchkula,Haryana-134113",Unknown,Government,9394780660,Haryana
Chalasani Hospital,"12-12-94/A,Old Club Road,Kothapeta",Unknown,Government,9405618219,Tripura
Chalasani Hospitals Pvt. Ltd.,"50-53-4, Gurudwaralane, Seethammadhara, Visakhapatnam-530013, Beside A.P.E.P.D.L.L Corporate Office",Limited Seats,Municipal,9351419814,Delhi
Challa Eye Care Centre,"8-2-268/R/9-P,Sagar Society Main Road,Road # 2,Banjara Hills",Unknown,Government,9049515411,Kerala
Challa Hospital,"7-1-71/A/1, Dharam Karan Road, Ameerpet, Hyderabad-500016","Few Left, Book Now",Private,9393563911,Kerala
Chandak Nursing Home,"Supermarket Sita Building,Nagpur-440012.",Limited Seats,Municipal,9768506731,Tamil Nadu
Chandan Hospital & Icu,"Navarang Talkies Compound, Raopura, Baroda-390001",Unknown,Government,9740281805,Sikkim
Chandana Hospital,"#54, 4Th Cross, 4Th Main, Ngefnrupathunganagar, Nagarbhavi,",Unknown,Government,9384812799,Telangana
Chandini Hospital,"Chamarajpet,Sagarshivamogga",Unknown,Government,9847943862,Uttar Pradesh
Chandna Medical Centre,"85 & 52, Sector Iba, Near New Subzi Mandi.",Unknown,Government,9858881583,West Bengal
Chandni Hospital,"Kshitij Map 23, Mahavir Nagar.",Unknown,Government,9588998909,Meghalaya
Chandni Hospital,"9/60, Arya Nagar.",Unknown,Government,9733212887,Arunachal Pradesh
Chandra Bhushan Hosptial,"Opposite Mahamandir Railway Station, Mandore Road",Unknown,Government,9354159859,Haryana
Chandra Hospital,"# 10, Pillayarpalayam Road",Unknown,Government,9484916945,Punjab
Chandra Laxmi Hospital,"Sector-4, Plot # 337, Vaishali",Unknown,Government,9977693591,Nagaland
Chandra Mohan'S Nursing Home,"14-2A,C.T.M. Road,Beside Icici Bank Madanapalle",Unknown,Government,9233209860,Goa
Chandra Mother & Eye Care,"4/43,Vivek Khand,Gomti Nagar",Unknown,Government,9156427472,Goa
Chandrakala Hospital And Institute Of Medical Research,"Plot A,Kalidasa Road,Jayalakshmipuram",Unknown,Government,9103751407,Kerala
Chandraleela Hospital,"P13, Vijay Vihar, Uttam Nagar. New Delhi-59Uttam Nagar","Few Left, Book Now",Private,9222175421,Delhi
Chandralok Hospital,Pilibhit Bypass Road Barelly U P 243006,Unknown,Government,9048419881,West Bengal
Chandralok Hospital,"Chaitraban Apt.,Chandrika Society,Bibawewadi Road",Unknown,Government,9229595142,Arunachal Pradesh
Chandramani Hospital,"Girdhar Nagar, Shahibag",Unknown,Government,9265794703,Puducherry
Chandramathy Amma Memorial Hospital,"Olarikkara Pullazhi Post, Thirssur, Kerala",Unknown,Government,9100622079,Kerala
Chandravati Child & Maternity Hospital,"House # 1177, Sector-19, Opp Sai Baba Mandir",Unknown,Government,9368335813,Karnataka
Chandulal Chandrakar Memorial Hospital,"G.E. Road, Nehmnagar, Bhilak C.G,",Unknown,Government,9679734724,Tripura
Channan Devi Memorial Hospital,"Plot No 952, Ward No 23, Lal Chand Colony Chwok, Near Durga Mandir Rohtak-124001, Haryana",Unknown,Government,9778400158,Haryana
Chanre Rheumatology & Immunology Centre & Research (A Unit Of Chanre Darsha Health Care Pvt Ltd),"#149,15Th Main,3D Stage,4Th Block,Nhc Layout,Basaveshwar Nagar,",Unknown,Government,9821288862,Uttarakhand
Chaphekar Iccu & Diabetes Hospital,"Ashok Nagar, Ambadi Road(Opp) Bhaji Market, Vasai Road",Unknown,Government,9765208103,Haryana
Charak Clinic Nursing Home,"Laud Mansion,4Th Floor, 21,M Karvi Roadm.Karve Road,Opp.Charni Road",Unknown,Government,9112023202,Chhattisgarh
Charak Clinics,"Scf-85,First Floor,Phase #7,",Unknown,Government,9467784302,Bihar
Charak Hospital & Research Centre,"Old Navbharat Press Building, Jehengirabad.",Unknown,Government,9312765676,Manipur
Charak Hospital Pvt Ltd,"Ranisati Gate, Yeshwant Niwas Road.Y.N.Road,",Unknown,Government,9367317401,Uttar Pradesh
Charaka Hospital,"No-5, Opp-Neps, 2Nd Main, Shankarapuram, B.H Road, Tumkur-572102",Unknown,Government,9241686965,Telangana
Charithasri Hospitals Ltd,"Ramachandra Rao Road,29/6/8-1,Vijayawada.Ramachandrarao Road",Unknown,Government,9260931130,Telangana
Charnock Hospitals Pvt Ltd,"Megacity Approach Road,24 Oarganas.",Unknown,Government,9942490321,Jharkhand
Charring Cross Nursing Home (P) Ltd.,"2C. Motilal Basak Lane, Kolkata-700054, Kankurgachi, Subash Mala Parkkolkata",Available,Government,9591716785,Assam
Chattisgarh Hosptial Medical Research Centre & Institute,"Central Avenue, Choubey Colony.",Unknown,Government,9994154891,Kashmir
Chaudhary Eye Centre & Laser Vision,"4802/24, Bharat Ram Road,Darya Ganj,24, Darya Ganj,",Unknown,Government,9253174547,Goa
Chaudhry Medical & Maternity Hospital,"# 1543-44, Sector-13, Urban Estate Opp Pani Ki Tanki, Karnal-132001",Unknown,Government,9910788321,Punjab
Chawla Nursing Home & Hospital,"# 1&2, Phase 7, Mohali-160055.",Unknown,Government,9897329056,Sikkim
Chaya Hospital ( A Unit Of Chaya Healthcare Pvt Ltd),"# 6C-335, 4Th Main, 6Th Cross, Ombr Layout, Bhuvanagiri.",Unknown,Government,9306001355,Sikkim
Chazhikattu Hospitals Pvt Ltd,"Ix/139 A,River View Road,Thodupuzha, Idukki",Unknown,Government,9191858517,Rajasthan
Cheema Medical Complex,"Phase-4,Near Telephone Exchange, Mohalinear Telephone Exchange",Unknown,Government,9816598899,Delhi
Chelsa Medical Care (P) Ltd.,"Kungallummoodu,Karamanatrivadrum",Unknown,Government,9576576270,Nagaland
Chennai Eye Care Hospital,"#6,12Th Cross Street,Dhandeeswaran Nagar,Velachery",Unknown,Government,9854633618,Tripura
Chennai Krishna Hospital,"No.297, Gst Road, Near Mit Flyover, Chromepet, Chennai, Tamilnadu","Few Left, Book Now",Private,9699889339,Kashmir
Chennai Meenakshi Multispeciality Hospital Ltd.,"# 148, Luz Church Road, Malapore, Chennai, Tamilnadu.","Few Left, Book Now",Private,9423200472,Assam
Chetana Hospital,M.T. Road Puttur,Unknown,Government,9016820138,Bihar
Chethana Hospital,Shree Mahamaya Temple Road Dakshina Kannada,Unknown,Government,9688957410,Chhattisgarh
Chettinad Super Speciality Hospital (Cssh)-(A Unit Of Rajah Muthiah Charitable And Educational Trust),"I.T. Highway,Kelambakkam",Unknown,Government,9595457989,Jharkhand
Chhabda Hospital,"Plot No 5-6-19, New Osmanpura, Opp Sant Eknath Rang Mandir",Unknown,Government,9217309622,Puducherry
Chhabra Hospital Panipat,"A-1,Narain Singh Park,Assandh Road",Unknown,Government,9768201917,Maharashtra
Chikitsa Nursing Home,"B-4, Saket",Unknown,Government,9760457807,Tripura
Child Jesus Hospital,"P Box No 17, Cantonment, Tiruchirappalli, Trichy-620001Near To All India Radio Station",Unknown,Government,9112789391,Kashmir
Childerns Hospital,"Swastik Vihar Pharse - 1 Mdc, Sector - 5 Panchkula-134109",Unknown,Government,9280386184,Kashmir
Childrens Hospital,"6-11-58/59, 11Th Lane, 2Nd Cross, Arundelpet.",Unknown,Government,9835671623,Arunachal Pradesh
Chincholi Eye Hospital,Old Jewargi Cross Road,Unknown,Government,9526542369,Nagaland
Chinmay Nursing Home,"#103/104,Odyssey-A,Bhakti Park,Wadala East",Unknown,Government,9025703727,Madhya Pradesh
Chinmaya Mission Hospital,"1/1,C M H Road,Indiranagar",Unknown,Government,9228932749,Mizoram
Chinmaya Narayana Hrudayalaya,Cmh Road Indiranagar 2Nd Stage Chinmaya Missin Hospital,Unknown,Government,9146232439,Kashmir
Chinmayi Hospital,"#34,Brindavan Layout,Subramanyapura Main Road",Unknown,Government,9517502051,Uttar Pradesh
Chinmayi Hospital,"Church Road, Kundapura, Udupi-576201",Unknown,Government,9567565012,Puducherry
Chintamani Hospital,"Plot # 53,Jedhe Nagar,Bibwewadi",Unknown,Government,9213405510,Punjab
Chintan Orthopaedic Hospital,"#16,Anuradha Society,Jivraj Park Cross Road",Unknown,Government,9415212262,Tripura
Chirag Hospital,"Main Bajghera Road,3636/31,Rajindra Park,",Unknown,Government,9470994074,Puducherry
Chiranjeev Hospital,"Anand Karad Road, Markand,Chiplun, Ratnagiri-415605.",Unknown,Government,9431860977,Assam
Chiranjeevi Hospital,"101&102,Padmaraj Bldg,Dr.Rajendra Prasad Road,Shivmandir Cross Road,Ramnagar,Dombivali East,Thane","Few Left, Book Now",Private,9633611848,Karnataka
Chiranjeevi Hospital & Maternity Home,"16Th 2Nd Main, Sri Manjunatha Temple St, Mysore Bank Colony,",Available,Government,9708219865,Delhi
Chiranjeevi Maternity Hospital,Divatageri Galli Near Rayar Math,Unknown,Government,9437358761,Meghalaya
Chiranjiv Hospital & Maternity Home,"Wng,Haily Mandi",Unknown,Government,9215616367,Mizoram
Chirashree Nursing Home,"1-33/2 & 1-33/3, Iddya Suratkal",Limited Seats,Municipal,9072586092,Tamil Nadu
Chirayu Health & Medicare (P) Ltd,"#6, Malipurle,Behind Sadar Marzil",Unknown,Government,9655429675,Uttar Pradesh
Chirayu Superspeciality Hospital,"Ground Floor,Vimal Deep Building,Sarvoday Paraside Complax Behind Balaji Hos Mira Bhy Road,Bhayandar East,Thane","Few Left, Book Now",Private,9369391053,Rajasthan
Chitra Hospital,"25/1A, Irwin Rdmysore",Available,Government,9990857640,Tripura
Chitra Kalyana Raman Nursing Home,"56,A/1,Rajaji Road",Unknown,Government,9123441208,Kashmir
Chitrakut Surgical Hospital,"734/4888 , Bapunagar ,Near Pattelvadi ,",Unknown,Government,9349423158,Telangana
Chitras Ent Laser Surgery Super Speciality Hospital,"30C, Cathedral Garden Lane,Nungambakkam.",Unknown,Government,9374308384,Uttar Pradesh
Chittaragi Hospital,Bramanand Asram Road Bus Stand Road Rabkavi,Unknown,Government,9483637673,Jharkhand
Chobe Maternity & Nursing Home,"Opp Chetna Nagar,Marathwada",Unknown,Government,9387431759,Uttar Pradesh
