Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Arya Medical Centre,Dinkar Desai Road.,Unknown,Unknown,9621053559
Asarfi Hospital Pvt Ltd,"At Baramuri Po,Bishanpur,Dhanbad",Unknown,Unknown,9592868098
Asg Eye Hospital Ltd-Jaipur,"D-247, Bihari Marg, Bani Park, Opp. K.P. Auto, Jaipur, Rajasthan",Limited Seats,Municipal,9980889884
Asg Eye Hospital Ltd-Jodhpur,"A-322, Shastri Nagar, Jodhpur, Rajasthan",Unknown,Unknown,9850694165
Asha Hospital,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",Unknown,Unknown,9419626272
Asha Hospital,"# 1, Akurli Cross Road, Kandivli East,Premaskram Manidr Lane,",Unknown,Unknown,9482009345
Asha Hospital,"#7,Near Lekhanagar,Cantonment,Kamptee",Unknown,Unknown,9155239021
Asha Hospital& Iccu,"Plot # 134,Sect 4, Aniatic Society, Airoli,Navi Mumbai-400708","Few Left, Book Now",Private,9922020490
Asha Maternity & Childrens Hospital,"Ganesh Raod, Chalishoon Dist,",Unknown,Unknown,9284168404
Asha Maternity & General Hospital,"Pooja Building, Pushpa Park, Daftary Road, Malad East.",Unknown,Government,9269021037
Asha Orthopaedic Hospital,"Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane","Few Left, Book Now",Private,9134541818
Asha Polyclinic & Shetal Nursing Home,"145, 60 Feet Road,Opp.Uti Bank,Ghatkopar(E)-400077Chatkopur (E), Mumbai - 400077","Few Left, Book Now",Private,9288010145
Ashirvad Hospital,"Rathnagiri Road,",Unknown,Unknown,9403938777
Ashirwad Children & Surgical Hospital,"No.301-306,Ruby Monarch Bldg,Sakivihar Road,Sakinaka,Opp.Post Office,",Unknown,Unknown,9187046783
Ashirwad Hospital,"#117,Kaap Kaneri,Thane,Opp Gopal Nagar Near Kalyan Naka","Few Left, Book Now",Private,9914159057
Ashirwad Hospital,"Maratha Section,Near Jijamatha Udyan,Ulhasnagar,Thane","Few Left, Book Now",Private,9326527917
Ashirwad Hospital,"2Nd Floor,Punit Yash Arcade,Near Kothurd Bus Stand,Karve Road",Unknown,Unknown,9624762402
Ashirwad Hospital & Poly Clinic,"#101, 103, Anurag Busines Centre, W.T.Patil Marg, Ghtla Villate, Chemburw.T. Patil Marg,Ghatla Village",Unknown,Unknown,9539310411
Ashirwad Hospital & Research Centre,"B-38/1-C, Virdopur, Mahmorganj, Varanasi-221010",Limited Seats,Municipal,9459154230
Ashirwad Maternity & General Hosptial,"17,18 Samir Apt,Jesal Park,Bhayandar East,Thane","Few Left, Book Now",Private,9303218192
Ashirwad Maternity & Nursing Home,"A/5,Harsh Appartment,Anand Nagar,Dhisar East",Unknown,Unknown,9415316889
Ashirwad Medical & Orthopedic Hospital,"4-A, Subhadra Nagar, Opp. Technical School, Patan.",Unknown,Unknown,9560108291
Ashirwad Nursing Home,"55-56,Ved Vyas Colony",Unknown,Unknown,9395004541
Ashirwad Nursing Home,"'C'Wing, Seema Complex, Tulinj Road,Nalasopara(E),Thane,","Few Left, Book Now",Private,9559462854
Ashirwad Nursing Home & Research Centre,Hospital Raod,Unknown,Unknown,9609546141
Ashirwad Orthopaedic And Surgical Nursing Home,"Jambli Galli, Opp. Jain Temple, Borivali(W)",Unknown,Government,9753461186
Ashirwad Surgical Hospital,"Wonder Paint,Nh8 Ctm,Amraiwadi",Unknown,Unknown,9544667440
Ashish Hospital,"#1309, Napier Town,Home Science College Road.",Unknown,Unknown,9829947366
Ashish Orthopaedic Hospital,"24, Himalaya Complex, Nehru Park, Vajtrapur",Unknown,Unknown,9325829826
Ashok Hospital,"#65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",Unknown,Unknown,9246267188
Ashok Hosptial,"#10-A, 1St Cross, Old Banfalore Road, Hosur,",Unknown,Unknown,9220276823
Ashok Nursing Home,"F-3/15, Vijay Chowk,Krishna Nagarkrishnanagar, Delhi-110051.","Few Left, Book Now",Private,9905630571
Ashoka Hospital,South Bazar.,Unknown,Unknown,9344281764
Ashraya Hospital,"#26, Jetiappa Complex,Yelachenahalli, Kanakapura Rd",Unknown,Unknown,9594440119
Ashraya Hospital,P B No 77 Naidu Streetchikmagalur,Unknown,Unknown,9178020284
Ashraya Hospital,"No.1977/1 & 2,Mcc 'A' Block,Shamanur Road,Davanagere",Unknown,Unknown,9383838080
Ashraya Medinova Pvt Ltd,"Magadi Main Road,Sunkadakatte,Srigandadakaval,",Unknown,Unknown,9017493765
Ashtavinayak Maternity Eye & Sugical Nursing Home,"Mtnl Marg College Lane, Ramgiri Heights, 104 First Floor.",Unknown,Unknown,9079910932
Ashtvinayak Hospital,"Khanda Colony,New Panvel West.",Unknown,Government,9078617797
Ashveny Clinic,"1/6, Periyakaruppan Road,Sivakasi-626189",Unknown,Unknown,9417190842
Ashvini Maternity & Gynecological Hospital,"Plot #59/1,Old Thanaka Road,Panvel",Unknown,Government,9026776024
Ashwani Hospital,"Sector 9, Huda,Market,Opp Comunity Centre",Unknown,Unknown,9032400205
Ashwani Hospital,8-D1/Sector-11,Unknown,Unknown,9827357828
Ashwin Hospital,"#212/545,Skc Road,Surampatti Nall Road,",Unknown,Unknown,9508143594
Ashwin Hospitals,"#1, Alamu Nagar Road,Coimbatore-641012.",Available,Government,9199518028
Ashwini Accident Multispeciality Hospital,"Govind Nagar,Chowk #5,Behind Hotel Prakash,",Unknown,Unknown,9432537739
Ashwini Hospital,"#129, Katruguppa, Bsk 3Rd Stg,",Unknown,Unknown,9912877587
Ashwini Hospital,"B.B.Road, Yelahanka,Bangalore-560064","Few Left, Book Now",Private,9155370534
Ashwini Hospital,"Nh-48, Nellyady,Dakshina Kannadadakshina Kannada",Unknown,Unknown,9126525661
Ashwini Hospital,"Dattahasta 20/156,Bijali Nagar,Chinchwad",Unknown,Unknown,9365057096
Ashwini Hospital(A Unit Of Cuttack Hospitals Pvt Ltd),"Plot No.P3, Sector-1, Cda, Cuttack",Unknown,Unknown,9712650697
Ashwini Kidney & Dialysis Centre,"301 & Central Bazar Road, Ramdaspeth, Neet Gaurav Complex, Nagpur, Maharashtra",Limited Seats,Municipal,9747557280
Ashwini Maternity & Surgical Hospital,"Ambika Darshan, M G Road, Above Bharti Jewellers, Rajawadi, Ghatkopar East, Mumbai - 400075 ,M.G.Road, Ghatkopar","Few Left, Book Now",Private,9142183127
Ashwini Multispeciality Hospital,"Vadvau Section, Ambernath,Thane","Few Left, Book Now",Private,9432301508
Ashwini Nursing And Maternity Home,"Mohan Niwas Keluskar Rdnear Meenatai Thakare Statue Shivaji Parkkeluskar Road, Dadar (W)",Unknown,Unknown,9786305256
Ashwini Nursing Home,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar.",Unknown,Unknown,9273552385
Ashwini Nursing Home,"#382,Narayanappa Buildingd Ramamurthynagar",Unknown,Unknown,9327340690
Ashwini Nursing Home,"Akka Mahadevi Road,A.V.K.College Road,P.J.Extension,Near Bapuji Corporation Bank,",Unknown,Unknown,9657757556
Ashwini Nursing Home,"S.No#51,Plot#16,Dhanori Road,Maharanapratap Chawk,Vishrantwadi",Unknown,Unknown,9992829812
Ashwini Sahakari Rugnalaya & Research Centre,"North Sadar Bazar, Near Bhagatsingh Marketnear Bhagatsingh Market,",Unknown,Unknown,9318730012
Asian Eye Institute & Laser Centre,"# 101A, Satya Narayan Apartment,Off M.G.Road, Borivali(E), Mumbai-400066","Few Left, Book Now",Private,9239288415
Asian Globus Liver & Gastroenterology Centre,"E-5/24,Arera Colony, Arera Petrol Pump, Bhopal",Unknown,Unknown,9620655150
Asian Institute Of Gastroenterology,"6-3-661, Somajiguda, Near Red Rose Hotel, Hyderabad-500082","Few Left, Book Now",Private,9082507020
Asian Institute Of Medical Science,"Plot No.P-72,Milap Nagar,Midc,Dombivli,Thane,","Few Left, Book Now",Private,9918739794
Asian Institute Of Medical Sciences (A Unit Of Blue Sapphire Health Care Pvt Ltd),Badkal Flyover Road Opp C.P Office,Unknown,Unknown,9242032909
Asian Specialty Hospital (A Unit Of Orch Hospital And Healthcare Services Llp),"# 11/A, 9Th Main, 13Th Cross, 6Th Sector Hsr Layout, Outer Ring Road, Bangalore-560102Hsr Layout","Few Left, Book Now",Private,9326420920
Asopa Hospital,"93-B Tagore Nagar, Jaipur, Rajasthan-302024, Near D.C.M.",Limited Seats,Municipal,9337040298
Asopa Hospital & Research Centre,"Garland Road, Off By Pass.",Unknown,Unknown,9581807065
Assured Best Care Hospital,"#1, Annamalai Nagar Main Road Thillai Nagarannamalai Nagar",Unknown,Unknown,9846217293
Aster Aadhar Hospital (Prerana Hospital Ltd),"R.S. No.628, 'B' Ward, Shastri Nagar, Near Kmt Workshop, Kolhapur, Maharashtra-416012Mangalwar Peth",Unknown,Unknown,9344821241
Astha Hospital,"N.H-05, Block-2, Sector-Alpha-2, Greaer Noida-201306","Few Left, Book Now",Private,9565986378
Aswene Soundra Hospital & Research Centre,"# 24,Kasturi Rangan Road,Teynampet",Unknown,Unknown,9643784009
Aswinee Nursing Home,"D.No.29-26-56,Suryaraopet,Jadagamvari Street,Vijayawada,",Unknown,Unknown,9459660072
Aswini Hospital,"Karunakaran Nambiar Road, Thrissur-680020",Unknown,Unknown,9053654297
Aswini Hospitals,"15-1-17, 150 M5 From Rtc Bus Stand",Unknown,Unknown,9394533984
Aswini Mother & Child Hospital,"Taylor Pet,Narsapur",Unknown,Unknown,9442296792
Aswini Netralayam,"16-2-89, Guntur Road, Narasaraopet.",Unknown,Unknown,9047721701
Atam Prakash Yadav Hospital,"Near Nai Anaj Mandi,Bharawas Road",Unknown,Unknown,9602198899
Athare Patil Memorial Hosp And Research Center Pvt Ltd,"185,Savedi Road,Ahmednagar-414001Maharashtra",Unknown,Unknown,9974881595
Athena Hospital,"Falnir Road, Mangalore-575001, Opp Ymca, Near Platinum Theatre",Unknown,Unknown,9742635512
Athipathi Hospital And Research Center,"Plot No 1,100 Ft Rd,Tanni Nagar,Velachary",Unknown,Unknown,9206900416
Athreya Hospital,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",Unknown,Unknown,9764831758
Atlas Hospitals,"34/1-First Cross, V.N. Nagar, Near Chathiram Bus Stand, Tiruchirapalli-620002",Unknown,Unknown,9680970376
Atole Accident Hospital,"Avdhoot Plaza,Bhigwan Road,",Unknown,Unknown,9523021405
Attharva Accident Hospital,"Plot # 17,Vadgaon Road,Near Bank Of Maharashtra,Talegaon Dabhade",Unknown,Unknown,9661727821
Attingal Speciality Hospital,Parvathipuram Gramom.,Unknown,Unknown,9255784724
Atul Hospital,"26-A,Bharat Nagar, Grant Roadbharat Nagar",Unknown,Unknown,9589125340
Atul Lok Hospital,"#139/2447,Tagore Nagar,Group-7,Vikhroli East",Unknown,Government,9612902182
Atul Nursing Home,"#1/58, Delhi Gate, Opp. Pushpanjali Hospital, Agra-282002","Few Left, Book Now",Private,9295643047
Aum Eye Hospital,"Jolly Bunglow Complex,Summair Club Road,",Unknown,Unknown,9249059659
Aum Hospital,"House # 22, Ward # 18.",Unknown,Unknown,9204514022
Auro Ent Hospital,"Sanjeevani Complex Opp Mehsana Society, New Vadaj Road",Unknown,Unknown,9988315220
Aurobindo Netralaya,"4A,Rajendra Beb Road,",Unknown,Unknown,9524432808
Auroma Ent Hospital,"Agrawal Tower, Bhuyangdev Cross Road, Ghatlodia",Limited Seats,Municipal,9818458505
Austmangal Surgical Hospital,"Ahmedabad, Civil Hospital (1 Km)","Few Left, Book Now",Private,9240128928
Avadh Hospital & Heart Centre,"9-D, Singar Nagar, Kanpur Road.",Limited Seats,Municipal,9008275696
Avadhani Nethralaya,"No.33,1St Floor,Patalamma Temple Street,Basavanagudi,",Unknown,Unknown,9909287300
Avadhoot Hospital & Iccu,"Plot # 29,Sector-19,Thane","Few Left, Book Now",Private,9600589350
Avanitka Hospital,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School.",Unknown,Unknown,9788222858
Avanti Institute Of Cardiology Pvt. Ltd.,"# 5, Abhyankar Road,Dhontolidhantoli, Nagpur-440012",Limited Seats,Municipal,9846588218
Avantika Hospital,"No.137,Niti Khand-Ii,Indirapuram,",Unknown,Unknown,9882448416
Avhieta Hospital & Health Care,"280/1 Byrathi Cross, Hennur Bagalur Main Road, Bangalore-560077","Few Left, Book Now",Private,9839955777
Avinash Shah Memorial Multispeciality Hospital,"184-20/08/2007,Jayanagar,Sedam Road",Unknown,Unknown,9259369903
Avm Medical Ent Research Fundation,"3, P.S.S. Road,Mylapore",Unknown,Unknown,9128758912
Avss Hospitals,"# 32A, Kuruvikkaran Salai, Madurai-625009",Unknown,Unknown,9508541446
Aware Global Hospital (A Unit Of Ravindranath Ge Medical Associates Pvt Ltd),"08-16-01, Lingojiguda,Saroornagar,L.B.Nagar",Unknown,Unknown,9936167525
Aware Global Hospitals,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road,",Unknown,Unknown,9451979489
Axis Eye Foundation,"Suite # 502, Rivera Apts Dwarakapuri Colony Panjagutta",Unknown,Unknown,9828686469
Axon Hospitals,"8-3-215,Srinvasanagar, Colony West, Opp Icici Bank Sr Nagar,Hyderabad-500038","Few Left, Book Now",Private,9439360384
Aysha Hospital,"91A Millers Road, Kilpauk",Unknown,Unknown,9600199388
Ayub Ansari Nursing Home,"Q-39,S.A.Farooquie Road,Metiabru,",Unknown,Unknown,9489272228
Ayush Hospital,"Premises # 1-2-30/7, Nizampet Road.",Unknown,Unknown,9690152714
Ayush Hospitals & Trauma Care Pvt Ltd,"#13-14,Acharya Vihar Square,Acharya Vihar,Bhubaneswar",Available,Government,9586219633
Ayushmaan Hospital & Diagnostic Institute,"Sunder Nagar, Mahadeo Ghat Road, Raipur",Unknown,Unknown,9701816633
Ayushman Hospital,"# 2, Sec-12, Dwarka",Unknown,Unknown,9729132912
Ayushman Hospital,"C-Sector, Shahpura Lake",Unknown,Unknown,9086102644
Ayushman Hospital & Trauma Centre,37K.M. Hero Honda Chowk.,Unknown,Unknown,9401023129
Ayushman Hospital & Trauma Centre,"J25/59, Alaipur, G.T. Road, Infornt Of Varanasi City Railway Station, Varanasi-221001",Limited Seats,Municipal,9363282873
Ayushman Neuro Cardio Centre Shubham Hospital,"14-B,Vijaynagar Extension,Near Prem Motors,Baant Vihar",Unknown,Unknown,9181272549
Azam Hospital,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad-500002",Unknown,Unknown,9308814970
Azra Memorial Hospital,"Water Works Road, Aishbagh Opp Ramleela Maidan Opp Ramleela Maidan Besides Aishbabagh Eidgah",Unknown,Unknown,9257452514
B M Birla Heart Research Centre,"1/1, National Library Avenue",Unknown,Unknown,9513701478
B M Hospitals,"36, 5Th Main Road,Thillai Ganga Nagarcheenai",Unknown,Unknown,9658434111
B.A Hospital & Training Centre,"Thumbay,Bantwal",Unknown,Unknown,9254061286
B.B Hospital,"No.52,Dayalu Nagar,Kolathur,Near Villirakham Railway Station,",Unknown,Unknown,9948962793
B.G Hospital,"1/143-B,Tuticorin Road,Veerapandianpatnam, Tiruchendur",Limited Seats,Municipal,9665553720
B.G. Hospital,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya.",Unknown,Unknown,9016562741
B.G.S Vivus Heart Centre,"Bandhi Gowda Extension,Bangalore Mysore Highway,","Few Left, Book Now",Private,9799034153
B.J. Lingegowda Hospital,Bangalore-Mysore Road,"Few Left, Book Now",Private,9053344511
B.J.S.Bal Memorial Hospital,"#11/4,Dharampur Colony,Batala,Gurdaspur",Unknown,Unknown,9114707577
B.K.Heart Hospital Pvt Ltd,"N 7/1,R-12,Bhikharipur,Dlw,Bhu,Varanasi",Limited Seats,Municipal,9857533626
B.K.Memorial Hospital,"Natun Para Near Ganesh Mill Char Ali,Tezpur",Unknown,Unknown,9157645375
B.K.R Hospital,"8-3-164/C, Erragadda, Beside Gokul Theatre.",Unknown,Unknown,9917960454
B.M. Gupta Nursing Home Pvt Ltd.,"H-11, Uttam Nagar, New Delhi","Few Left, Book Now",Private,9753652045
B.M.Orthopaedic Hospital,"No.3/157, Mth Road, Ambattur,Chennai - 53","Few Left, Book Now",Private,9707030026
B.M.R Hospitals,"6Th Lane,2Nd Cross,Arundelpet",Unknown,Unknown,9950950326
B.M.Silver Jubilee Multi Speciality Hospital,"41, Dharga Road, Pallavaram, Kancheepuram, Chennai-600043","Few Left, Book Now",Private,9618179500
B.N.V Hospital Pvt Ltd,"Thiruvallam Post,Trivandrum",Available,Government,9616173030
B.P. Poddar Hospital & Medical Research Ltd,"71/1, Humayun Kabir Sarani,New Alipore,Blk-G,New Alipore, Block-G,Kolkata",Available,Government,9090289990
B.P.Jain Hospital,"Plot No.6,Gokulam Colony,Anna Salai,Pammal,Kanchipuram",Unknown,Unknown,9101598563
B.R. Hospital,"10&12, Alamaram Street, Tiruttani.",Unknown,Unknown,9258247200
B.R. Memorial Hospital,"Fca-103, Mukesh Colony, Ballabgarh, Faridabad-121004","Few Left, Book Now",Private,9949637989
B.S. Hospital,"# 16, 3Rd Main Road,Chitlapakkam,",Unknown,Unknown,9423207372
B.S.S. Hospital,"New No 200, Old # 179/1, R.K. Mutt Road, Mandaveli,",Unknown,Unknown,9793005716
B.Siddaramanna Hospital,"Opp Ib Railway Station Road,Gandhinagar",Unknown,Unknown,9503230181
B.T. Hospital,"182, Mukherjee Park,Khyla Road",Unknown,Unknown,9332339724
Babus Maternity Hosptial,"# 7, Doraisamy Reddy Street, Tabaram",Unknown,Unknown,9858948146
Baby Hospital,"12-2-950(12-358)Sai Nager 2Nd Cross,Anantapur",Unknown,Unknown,9916863963
Baby Memorial Hospital Ltd,"Indira Gandhi Road, E.K. Nayanar Flyover",Unknown,Unknown,9833875414
Bacc Health Care Private Limited,"No 6/7, Kumara Krupa Road,High Grounds,",Unknown,Unknown,9360250112
Badade Hospital,"Agarwal Chambers,Mumbai Pune Highway","Few Left, Book Now",Private,9828787439
Bafna Hospital & Orthopaedic Research Centre,"18/1, North Rajmohalla",Unknown,Unknown,9118146843
Bagade Hospital For Women & Maternity Home,"B.No. 7B F. No.3+4, Agarsen Nagar Dapodi, Pune-Mumbai Road, Opp .Atlas Copco Co Dapodi","Few Left, Book Now",Private,9187527671
Bagdi Nursing Home,"3Rd Floor, #10, Solaiappan Streett.Nagar",Unknown,Unknown,9936691456
Bahl Hospital & Medical Research Centre,"Hanumangarh Road, Chahal Chowk,Sri Ganga Nagar, Rajasthan.",Unknown,Unknown,9556471012
Bahusar Nursing Home,"#3587,B.M. Road,Hunsur.",Unknown,Unknown,9704494671
Bajaj Eye Care Centre,"101, Vikas Surya Plaza, Plot # 7, Dda Community Centre Road # 44, Pitampura.",Unknown,Unknown,9406268246
Bajwa Hospital,"No.314-315,Akash Avenue,F.C.Road,",Unknown,Unknown,9927178535
Bakhtar Hospital,"Raja Peth, Amravati-444601.",Unknown,Unknown,9062624329
Bakshi Hospital,"Str # 3, Bibiwala Road,Bathinda",Unknown,Unknown,9141744982
Balagangadhara Varma Nursing Home & Research Center,"No 17, First Main Road,Narayanapuram",Unknown,Unknown,9213015254
Balaji Accident Hospital,Malegaon Camp,Unknown,Unknown,9984654488
Balaji Eye Care & Laser Centre,"1St Floor,D-No 6-3788/32,Durganagar Colony Main Road,Ameerpet",Unknown,Unknown,9666770626
Balaji Healthcare (Rajpal Hospital),"Plot #.13, Sector 10, Kopar-Khairane",Unknown,Unknown,9735165368
Balaji Hospital,"Rohtak Road,",Unknown,Unknown,9339685309
Balaji Hospital,"Balaji Hospital 43/19 N.R. Peta, Kurnool-500001",Unknown,Unknown,9939070271
Balaji Hospital,"Plot #34,34/A,Pet Basheerabad,Ncl South,Medchal Road,Ranga Reddy",Unknown,Unknown,9115246737
Balaji Hospital,"#15-4-17, S.V.N Road ,Warangal-506002",Unknown,Unknown,9296491078
Balaji Hospital,"40/1, J.J.R. Nagar Main Road,K.H. Ranganath Colony.",Unknown,Unknown,9477477534
Balaji Hospital,"B.H. Road, Tiptur.Near Aralikatte",Unknown,Unknown,9034373429
Balaji Hospital,"11/787, Brindavan Street,Near Town Hallpalakkad",Unknown,Unknown,9093554926
Balaji Hospital,"No.14,Varadanar Street,Vedachalanagar,Chengalpattuvedachala Nagar",Unknown,Unknown,9593229575
Balaji Hospital,"Victoria Road, Cross Lane 3.",Unknown,Unknown,9404107014
Balaji Hospital,"Bye Pass Chowk,Nagar Road",Unknown,Unknown,9750907132
Balaji Hospital,"Golden Nest Phas 5 Mira Road,Bhayandar Thane.","Few Left, Book Now",Private,9776255363
Balaji Hospital ( A Unit Of Shri Vhmrc Pvt Ltd),"Opp. Vidya Vikas School, Subhanpura.",Unknown,Unknown,9349620523
Balaji Maternity & Nursing Home,"A 7/28,Hiramoti Complexshivaji Nagar, Wagle Estate",Unknown,Unknown,9826264813
Balaji Nursing Home,"Dommasandra Bus Stop,",Unknown,Unknown,9035104203
Balaji Nursing Home,"T.B. Road,Kadur.",Unknown,Unknown,9781034653
Balaji Speciality Hospital,"1St Floor, Jalaram Commercial Centre,Sakivihar Road,Sakinaka,",Unknown,Unknown,9143691819
Balaji Surya Hospital,"#129,Pollachi Road,Dharapuram",Unknown,Unknown,9562199941
Balakrishna Eye Hospital & Eye Research Centre,"11, Sastri First Cross Street, Chennai, Tamilnadu","Few Left, Book Now",Private,9603773096
Balanku Hospital,"Near Basavana Bhavi Chowk, Basavanagara, Raichur-584102",Unknown,Unknown,9948639607
Baldwa Hospital,"Sumer Nagar, S.V. Road, Borivali West",Unknown,Government,9751177492
Bali Nursing Home,"D.B.Gupta Road, Karol Bagh",Unknown,Unknown,9319802498
Ballabgarh Nursing Home,"64,65-Mukesh Colony Ballabgarn",Unknown,Unknown,9636748056
Banarasidas Chandiwala Institute Of Medical Sciences,"Chndiwala Estate, Maa Anandmai Marg Kalkaji, New Delhi","Few Left, Book Now",Private,9383839773
Banashankari Hospital Pvt Ltd,"Chitguppipark, Pinto Road,Hubli Dharkiad",Unknown,Unknown,9111054842
Bangalore Baptist Hospital,"Bellary Road, Hebbal, Bangalore-560024, Opp University Of Agricultural Sciences (Near Hebbal Flyower)","Few Left, Book Now",Private,9524662748
Bangalore Eye Hospital & Retina Centre,"4C,426 4Th Cross, 2Nd Block,Kalyannagar.","Few Left, Book Now",Government,9721868450
Bangalore Nethralaya Super Speciality Eye Hospital,"#946,21St Main, Near Bda Complex,Banashankari ,2Nd Stage",Unknown,Unknown,9855648183
Bangur Medicare Research Institute,"No.8A,Diamond Harbour Road,24 Parganas(S),3A Bus Stand-Thakurpukur,",Unknown,Unknown,9629153527
Bani Park Hospital( Heart. Eecp & Multispecialty),"D-9, Kabir Marg, Bani Park, Jaipur",Limited Seats,Municipal,9164968804
Bankers Heart Institute,"Near Tagorenagar,Old Padra Road,Opp Suryakiran Building,",Unknown,Unknown,9845870412
Bankura Nursing Home,"Patpur,Bankura",Unknown,Unknown,9385308961
Bansal Hospital & Research Centre Pvt Ltd,"3590, Bajar Sitaram, Delhi","Few Left, Book Now",Private,9464372323
Bansal Hospital And Research Centre,"#4, Janakpuri-1St, Imli Phatak.",Unknown,Unknown,9673352599
Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,"No.A-1,New Friend'S Colony,",Unknown,Unknown,9360417620
Bansal Nursing Centre (A Unit Of Pahari Mata Medical (P) Ltd),"# 20, Dobson Road,Howrah-711101.",Unknown,Unknown,9448671737
Bapat Hospital,"Ahd-30, Sukhlia",Unknown,Unknown,9966178550
Bappu Clinic & Nursing Home,"#46, Kalaingar Main Road,Srinivasa Nagar, Perungalatur,",Unknown,Unknown,9311689994
Baptist Christian Hospital,"Mission Chariali, 4 Corps Army Battalion. Tezpur",Unknown,Unknown,9104256449
Bapuji Maternity & Nursing Home,"7-44,Bapuji Nagarnacharam",Unknown,Unknown,9778812615
Bapuji Nursing Home,"1St Cross, Someshwar Puram,Tumkur-572102.",Unknown,Unknown,9134075467
Baradkar Hospital & Maternity Home,"14,A-3,Meera Queen,Opp Laxmi Cars,W.E.Highway,Kashimira,Thane","Few Left, Book Now",Private,9287240390
Bardia Hospital,"Paratwada, Amravati,Opp. S.T. Stand.",Unknown,Unknown,9199572980
Bareja Hospital,"Main Road, Fatehpur Billoch,Ballabgarh",Unknown,Unknown,9519348434
Bargachia Nursing Home,"Bargachis, J.B.Pur, Opp Petrol Pump.",Unknown,Unknown,9361342140
Baroda Heart & Multispeciality Hospital,"71 To 91,Capital Business Centre,Upper Ground Floor,Wing B,Panchbatti Oppcentral Bank Of India,Station Road,",Unknown,Unknown,9216460575
Baroda Heart Institute And Research Centre,"44, Haribhakti Colony, Race Course,Vadodara",Limited Seats,Municipal,9138635954
Barrackpore Medicare & Recovery Centre Ltd,"No.6/6,B.T.Road,Talpukur,Titagarh,24-Parganas(North)",Unknown,Unknown,9865257820
Barsa Nursing Home,"By Pass Square, Pattamundai",Unknown,Unknown,9258759280
Barthakur Clinic Pvt Ltd,Karghuli Road Kharghuli,Unknown,Unknown,9740076590
Basant Sahney Hospitals.,"#253,Nehru Nagar,Road No.11,West Marredpally,K.Konda Reddy Street,Secunderabad,",Unknown,Unknown,9978279130
Basappa Memorial Hospital,"22-B, Vinobha Road, Mysore-570012",Available,Government,9934861950
Basappa Multispeciality Hospital,"Basapa Hospital Building,Turuvanur Road,",Unknown,Unknown,9166129326
Basavanagudi E.N.T. Care Centre,"44/1, H.B. Samaja Road, Basavanagudi",Unknown,Unknown,9316970531
Basavangudi Medical Centre,"84/1, R.V. Road, Basavanagudi,Bangalore-560004.","Few Left, Book Now",Private,9442150207
Basavatarakam Indo American Cancer Hospital & Research Institute,"Road No 14, Banjara Hills, Hyderabad-500034","Few Left, Book Now",Private,9731391753
Bassi Nursing Home Pvt Ltd,"B-970,Nea Dhubighat,Rajpura Road",Unknown,Unknown,9894439170
Batalia Eye Hosptial,"Dr. Batalia Road, Near Clock Tower",Unknown,Unknown,9982184622
Batra Hospital,"1 ,Tughkalabad Institutional Am.B Road",Unknown,Unknown,9323988305
Batra Hospital,"112-116,Chaturbhai Park Sangam Warasia Ring Road",Unknown,Unknown,9467496029
Batra Hospital,"#17, Zone-1, Mp Nagar",Unknown,Unknown,9912385146
Bavishi Eye Hospital,"# 1, Tapovan Society, S.N. Road, Ahmedabad-380015","Few Left, Book Now",Private,9318654500
Bavishi Hospital,"Opp Manjulal Municipal Garden,Near Adani Cng Pvmp Station",Unknown,Unknown,9374876859
Bawa Hospital Pvt Ltd,"Near Old Dandi Swami Mandir, Civil Lines",Unknown,Unknown,9809195143
Bay View Clinic,"3/3A, M. Parmanand Road,Mumbai-400004,","Few Left, Book Now",Private,9697724657
Bbc Heart Care Pruthi Hospital,"301, Lajpat Nagar, Jalandhar.Punjab.",Unknown,Unknown,9645525745
Be Well Hospitals Pvt Ltd,"No. 15, Lawspet, Green Garden, Ecr, Pondicherry, Shenbaga Motors (Maruthi Show Room)",Unknown,Unknown,9823177547
Beams Hospitals Privated Limited,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru-560034",Unknown,Unknown,9235516208
Beams Hospitals Pvt Ltd-Amritsar,"29-B, Race Course Road, Amritsar, Punjab-143001",Available,Government,9104035694
Beams Hospitals Pvt Ltd. Hyderabad,"Plot No. 99, Road No-1, Jublee Hills, Hyderabad-500033","Few Left, Book Now",Private,9826441742
Beas Hospital,"The Mall,Dhalpurdhacpur",Unknown,Unknown,9087248277
Behera Nursing Home,"National Highway # 6, Bargarh, Infront Of R.T.O",Unknown,Unknown,9880931806
Behl Hospital,"B-128, Naraina Viahar",Unknown,Unknown,9262680756
